,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fnum4,param_fnum3,param_fnum2,param_fnum1,param_epochs,param_do,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,9.810435962677001,0.906745909858937,0.22298283576965333,0.13665654295460625,128,16,128,64,25,0.25,25,"{'fnum4': 128, 'fnum3': 16, 'fnum2': 128, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",-0.3679540403663015,-0.17016882475836453,-0.12547257071707668,-0.19376596298181653,-0.2597728174550709,-0.22342684325572604,0.08428566237101429,47,-0.37753937564391105,-0.15387367070108263,-0.05182005020818022,-0.1866113199138796,-0.22658186782901352,-0.1992852568592134,0.10629060526864004
1,18.681309461593628,3.068970002122019,0.20307631492614747,0.03836601481204298,32,64,128,128,25,0.1,50,"{'fnum4': 32, 'fnum3': 64, 'fnum2': 128, 'fnum1': 128, 'epochs': 25, 'do': 0.1, 'batch_size': 50}",-0.21548036081450328,-0.3918623849072239,-0.19188942971167625,-0.15605062212778897,-0.2086171785506593,-0.2327799952223703,0.08215809249401061,51,-0.23085116191214813,-0.3699994166615496,-0.17117394937839342,-0.13918183048566182,-0.1597891250028561,-0.21419909668812182,0.08365432389106221
2,9.986974477767944,1.7896037200177073,0.1551905632019043,0.034631717659245116,32,16,64,64,25,0,50,"{'fnum4': 32, 'fnum3': 16, 'fnum2': 64, 'fnum1': 64, 'epochs': 25, 'do': 0, 'batch_size': 50}",-0.06713816399698135,-0.11338130385973752,-0.1130600446101391,-0.13895051605773695,-0.15968818913548538,-0.11844364353201606,0.031011310883133764,14,-0.06822984981072412,-0.06228876976836551,-0.07738233042227756,-0.11890479549443052,-0.12572995516193378,-0.0905071401315463,0.02650240837610948
3,10.156353187561034,1.7372917078653984,0.15137910842895508,0.017584003913580844,32,128,16,64,25,0.1,50,"{'fnum4': 32, 'fnum3': 128, 'fnum2': 16, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 50}",-0.38920716491096463,-0.33563262169366276,-0.1836181144435684,-0.2013602703035652,-0.17664476854976638,-0.2572925879803055,0.08786243734328425,59,-0.42874546951868325,-0.36467395239223394,-0.14327033617537777,-0.17460856244806605,-0.19400964755387534,-0.26106159361764725,0.11375260307105617
4,9.837644624710084,1.3348400590356617,0.1528921604156494,0.016982459770264417,32,128,64,64,25,0.1,25,"{'fnum4': 32, 'fnum3': 128, 'fnum2': 64, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 25}",-0.23591672166278865,-0.21096681961507505,-0.3987496053630655,-0.1487557264859284,-0.0999278187945292,-0.21886333838427735,0.10175753240291639,43,-0.23913670899789952,-0.20644265314749563,-0.3376015526133698,-0.1882697717435819,-0.06902878599148646,-0.20809589449876667,0.08656872029493205
5,15.22264552116394,4.888181948165368,0.16372480392456054,0.011037666203413914,128,32,64,128,25,0,12,"{'fnum4': 128, 'fnum3': 32, 'fnum2': 64, 'fnum1': 128, 'epochs': 25, 'do': 0, 'batch_size': 12}",-0.09961515148996788,-0.10948175811148311,-0.098255684107413,-0.1584120242594382,-0.16178437937776763,-0.12550979946921398,0.028525845304134458,16,-0.040374324488094734,-0.05242490891963888,-0.029871670172844107,-0.11632294889007293,-0.1395663557844277,-0.07571204165101567,0.04386115293199644
6,10.332772827148437,0.7267035518187566,0.17117705345153808,0.02347316193888789,16,16,128,64,25,0.1,25,"{'fnum4': 16, 'fnum3': 16, 'fnum2': 128, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 25}",-0.2672184682511664,-0.166091357526325,-0.2384474605966956,-0.14783625499188124,-0.2887720096033889,-0.22167311019389144,0.055496365988573416,45,-0.22084829106733395,-0.14825235949385732,-0.19166819237462884,-0.1447165032203644,-0.25226571854220065,-0.19155021293967703,0.0415038899400525
7,5.766647005081177,0.23476546745414298,0.15231747627258302,0.03180981200360688,16,16,128,16,25,0.25,50,"{'fnum4': 16, 'fnum3': 16, 'fnum2': 128, 'fnum1': 16, 'epochs': 25, 'do': 0.25, 'batch_size': 50}",-0.21059556175103952,-0.17289074659347536,-0.35016639954793505,-0.47020220032760074,-0.4780384139032847,-0.3363786644246671,0.12705590361625918,78,-0.24006143373586397,-0.17899247231163504,-0.33638792851641447,-0.4385853622866658,-0.49323973114596226,-0.3374533855993083,0.11755275470528466
8,10.169674015045166,0.39442098488330657,0.1606362819671631,0.011849234885470352,128,64,128,64,25,0.1,50,"{'fnum4': 128, 'fnum3': 64, 'fnum2': 128, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 50}",-0.23515497204803287,-0.1762266927725309,-0.39548785625856153,-0.33643384968047535,-0.1743317374935398,-0.2635270216506281,0.08844341329973178,62,-0.2794282235189047,-0.19702464372758227,-0.31706729055225075,-0.3266564457254984,-0.20821233194208505,-0.2656777870932642,0.053970149167784184
9,10.284974575042725,0.6068843423738364,0.1611661434173584,0.014576366444770839,32,32,16,128,25,0,12,"{'fnum4': 32, 'fnum3': 32, 'fnum2': 16, 'fnum1': 128, 'epochs': 25, 'do': 0, 'batch_size': 12}",-0.07387489944825439,-0.11511514144284385,-0.11186796803495065,-0.06653605004151661,-0.15750593675937488,-0.10497999914538807,0.03272492565892665,8,-0.03705267033729202,-0.08744784652928768,-0.09326807714643932,-0.04899424896676303,-0.12304615223401294,-0.07796179904275899,0.03120750524416653
10,5.407338953018188,0.8144459791170886,0.21653881072998046,0.17081599238918996,64,64,16,16,25,0.25,25,"{'fnum4': 64, 'fnum3': 64, 'fnum2': 16, 'fnum1': 16, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",-1.3700727645452921,-0.6390664609382937,-0.8420755004211936,-0.9723745902379355,-0.4156552320950992,-0.8478489096475628,0.3220680728697574,99,-1.3272256043824282,-0.5753646451891179,-0.8781182253838099,-0.9354590538389238,-0.45207000473490005,-0.8336475067058361,0.30603071774547597
11,8.321011114120484,1.2678661826419626,0.1686568260192871,0.017477936605933345,128,32,64,64,25,0.1,12,"{'fnum4': 128, 'fnum3': 32, 'fnum2': 64, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 12}",-0.10713309286992785,-0.18535891647462718,-0.12385348991140145,-0.13600902565113912,-0.39009161717641405,-0.18848922841670193,0.10411925198734578,36,-0.05933227611794356,-0.15589827489333624,-0.095776231325679,-0.14441583583623296,-0.37879033644897336,-0.16684259092443302,0.1114930307118071
12,9.508526945114136,1.7320406235935353,0.17759160995483397,0.010398564728149146,32,64,128,32,25,0.1,50,"{'fnum4': 32, 'fnum3': 64, 'fnum2': 128, 'fnum1': 32, 'epochs': 25, 'do': 0.1, 'batch_size': 50}",-0.12463191485766212,-0.3257328280574316,-0.2632780946178354,-0.3808351290948463,-0.34554321399498816,-0.2880042361245527,0.09017056364825117,69,-0.12262860204645501,-0.34263154062285245,-0.25408418958530926,-0.37444446702040246,-0.38935696431052635,-0.2966291527171091,0.09884953757871826
13,8.543626070022583,1.1640608735140707,0.1680469512939453,0.013227951479796775,64,64,64,64,25,0.25,12,"{'fnum4': 64, 'fnum3': 64, 'fnum2': 64, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 12}",-0.11499894909012368,-0.31109993615191744,-0.31278532316738905,-0.11332495222876084,-0.24343812139261334,-0.21912945640616086,0.08928455339531678,44,-0.1443032525979724,-0.3019918055761428,-0.24370133485604736,-0.08323592419748183,-0.1915820902721448,-0.19296288149995783,0.07598864147006672
14,19.35211033821106,3.7252526756174715,0.16672372817993164,0.015272511532311678,32,128,32,128,25,0.25,12,"{'fnum4': 32, 'fnum3': 128, 'fnum2': 32, 'fnum1': 128, 'epochs': 25, 'do': 0.25, 'batch_size': 12}",-0.10211109591252875,-0.17435387974177607,-0.18871131096825455,-0.21015649381783097,-0.207885102211655,-0.17664357653040907,0.039509776372200524,34,-0.09587332206048488,-0.14673429167631902,-0.12652642049572685,-0.128363308674168,-0.2118993920665154,-0.14187934699464283,0.03862985160192367
15,4.0085547924041744,0.8625392025381796,0.14691271781921386,0.014020077688916187,32,32,32,16,25,0.1,12,"{'fnum4': 32, 'fnum3': 32, 'fnum2': 32, 'fnum1': 16, 'epochs': 25, 'do': 0.1, 'batch_size': 12}",-0.09216538438033231,-0.14212958415349325,-0.34661765732032396,-0.3055609935515629,-0.23221970270206396,-0.22373866442155527,0.09574720722130277,48,-0.07931479681363869,-0.13110786073748426,-0.3180861353761319,-0.3453157081853324,-0.20741451646048106,-0.21624780351461367,0.10306022995595274
16,5.643518781661987,0.19634398773750064,0.16234173774719238,0.01693133750886923,128,32,64,32,25,0.25,12,"{'fnum4': 128, 'fnum3': 32, 'fnum2': 64, 'fnum1': 32, 'epochs': 25, 'do': 0.25, 'batch_size': 12}",-0.20527756085288731,-0.21861086004449945,-0.22577848490246957,-0.27836334789857203,-0.1371011703464634,-0.21302628480897834,0.04535946126234939,41,-0.3712077750727631,-0.19962283532776226,-0.24611562997348674,-0.2797596427591848,-0.14509340513787874,-0.24835985765421514,0.07631756211666293
17,7.35368857383728,1.7842953622303732,0.1428089141845703,0.004163613731894054,128,16,16,64,25,0.1,25,"{'fnum4': 128, 'fnum3': 16, 'fnum2': 16, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 25}",-0.25396221507163275,-0.3765871729911406,-0.5109340487362503,-0.3570689455674582,-0.29169589119814177,-0.3580496547129247,0.08826693189850658,80,-0.26959972004224725,-0.3793320206554357,-0.5227136329590499,-0.3624718063248894,-0.258969016323366,-0.35861723926099764,0.09510570260785008
18,5.563403701782226,0.12326309300906012,0.14605002403259276,0.014618487403540818,128,128,32,32,25,0.1,25,"{'fnum4': 128, 'fnum3': 128, 'fnum2': 32, 'fnum1': 32, 'epochs': 25, 'do': 0.1, 'batch_size': 25}",-0.4187187153152572,-0.5150676526649336,-0.40456712176273396,-0.30936585702808383,-0.34998990930778123,-0.39954185121575797,0.0697514460578736,84,-0.43502784228734515,-0.523544403920817,-0.3359769711149977,-0.31757405450964726,-0.4327444292475909,-0.4089735402160796,0.0749035776445265
19,9.413602495193482,2.018087073641412,0.15672383308410645,0.01943399818794663,64,128,128,16,25,0.25,25,"{'fnum4': 64, 'fnum3': 128, 'fnum2': 128, 'fnum1': 16, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",-0.6259785700605544,-0.30432146129670085,-0.16294460525389484,-0.14149536513662958,-0.8244330071525657,-0.41183460178006903,0.2693264531690839,86,-0.6393741340082123,-0.31099957357366365,-0.19912722559879606,-0.13789717201909524,-0.8902754612428284,-0.4355347132885191,0.2857709798149063
20,5.8212127685546875,0.02719324600499617,0.1394498825073242,0.017622181831473415,128,64,16,32,25,0.25,25,"{'fnum4': 128, 'fnum3': 64, 'fnum2': 16, 'fnum1': 32, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",-0.6809003603922857,-0.6768689068880946,-0.20611388440772055,-0.4629777617397761,-0.49600511301647526,-0.5045732052888704,0.17416006072949342,94,-0.6447562416910608,-0.6799887863846569,-0.1531707199233951,-0.5000232553036957,-0.5673540173166983,-0.5090586041239014,0.1885561745991565
21,10.224765014648437,0.6467143662845958,0.1842958450317383,0.015014090595504785,32,32,128,64,25,0.25,50,"{'fnum4': 32, 'fnum3': 32, 'fnum2': 128, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 50}",-0.1621432571958154,-0.4453305412938584,-0.39048169837353414,-0.194120876510422,-0.2094015478571772,-0.28029558424616147,0.11470791936958864,66,-0.16382220321661464,-0.4234944981188227,-0.3444309366959675,-0.16770854570713395,-0.2211376727627211,-0.26411877130025196,0.10300715917766202
22,8.076480102539062,2.274095886609387,0.17527852058410645,0.015955408858013203,64,128,64,32,25,0.1,12,"{'fnum4': 64, 'fnum3': 128, 'fnum2': 64, 'fnum1': 32, 'epochs': 25, 'do': 0.1, 'batch_size': 12}",-0.19907350218915323,-0.2080192832663268,-0.2578223909844051,-0.16383618874499548,-0.3310696037494259,-0.23196419378686128,0.05794326544258876,50,-0.1491783481006595,-0.17508491771053764,-0.22549093049261476,-0.13250914644893436,-0.29325058734149256,-0.19510278601884776,0.05828235237762199
23,5.0645423412323,0.7730619484791386,0.13202157020568847,0.008451354815841947,32,64,32,32,25,0,50,"{'fnum4': 32, 'fnum3': 64, 'fnum2': 32, 'fnum1': 32, 'epochs': 25, 'do': 0, 'batch_size': 50}",-0.10514970599830924,-0.09743139512869185,-0.13673213642913026,-0.12037992676099141,-0.09589323622065704,-0.11111728010755595,0.015469999276506566,11,-0.09552013654406967,-0.0651048801323294,-0.10500943157942844,-0.10318645504000898,-0.07211533936135694,-0.0881872485314387,0.016448922641171093
24,10.800917053222657,0.10238514267236573,0.16395134925842286,0.00843367094752618,64,128,128,64,25,0.1,25,"{'fnum4': 64, 'fnum3': 128, 'fnum2': 128, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 25}",-0.1466485160471493,-0.10705709583831553,-0.14489521050091947,-0.39248906188196947,-0.26973077785143085,-0.21216413242395693,0.10554230605358762,40,-0.14494547439321825,-0.08904917478496892,-0.12212558850742779,-0.3481805980294233,-0.2615540143215294,-0.1931709700073135,0.0968697253317528
25,9.55039734840393,1.6992068114555996,0.15923986434936524,0.018172000634108555,64,16,64,64,25,0.25,25,"{'fnum4': 64, 'fnum3': 16, 'fnum2': 64, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",-0.2255210791960423,-0.3453692773655379,-0.13595268126431997,-0.20137955995349135,-0.2919218517743148,-0.24002888991074123,0.07256112072479629,54,-0.18652915505297255,-0.34605013012797353,-0.12049010791916609,-0.18557800339026884,-0.2695385869495667,-0.22163719668798953,0.07814946547644523
26,10.305765008926391,0.4786930407075958,0.16320738792419434,0.020287627890403795,32,64,16,128,25,0,25,"{'fnum4': 32, 'fnum3': 64, 'fnum2': 16, 'fnum1': 128, 'epochs': 25, 'do': 0, 'batch_size': 25}",-0.07987564491245139,-0.10585885723947965,-0.12899475602102486,-0.06871383581068607,-0.10782737920294594,-0.09825409463731759,0.021470271352506506,7,-0.03936192867430773,-0.06967087225964316,-0.06733744906269627,-0.05362162548419716,-0.09633296633631121,-0.06526496836343111,0.018949736472964863
27,9.591957473754883,1.6743823704608212,0.18315792083740234,0.022188803734322884,16,64,128,32,25,0.25,12,"{'fnum4': 16, 'fnum3': 64, 'fnum2': 128, 'fnum1': 32, 'epochs': 25, 'do': 0.25, 'batch_size': 12}",-0.3025978585277801,-0.30081706992894797,-0.36198034333589274,-0.2361871902302746,-0.21428984591971226,-0.28317446158852155,0.052634192159142015,67,-0.2972524366224612,-0.2865197615246429,-0.2776668209251968,-0.21436779937380315,-0.17423723294476282,-0.25000881027817334,0.04762685992989686
28,9.01352915763855,1.6305013637931856,0.16434354782104493,0.018315089300848072,128,128,128,32,25,0,25,"{'fnum4': 128, 'fnum3': 128, 'fnum2': 128, 'fnum1': 32, 'epochs': 25, 'do': 0, 'batch_size': 25}",-0.1272995718242802,-0.10782577443819537,-0.12878328186996052,-0.11670658758708408,-0.16259325341244926,-0.12864169382639387,0.018602575079207172,18,-0.10331298252204794,-0.046601878033217144,-0.0547231877762905,-0.08010553053511685,-0.1103786723696308,-0.07902445024726065,0.02536124336939713
29,5.454414558410645,0.2247204421791641,0.14143590927124022,0.008524529572442369,32,16,128,16,25,0,25,"{'fnum4': 32, 'fnum3': 16, 'fnum2': 128, 'fnum1': 16, 'epochs': 25, 'do': 0, 'batch_size': 25}",-0.11452519376298564,-0.07611935298680225,-0.131800163063136,-0.16420475495616338,-0.08662226009162473,-0.1146543449721424,0.031685903104338414,12,-0.09433380815652057,-0.05283056893486737,-0.05412830320142564,-0.17705572014624144,-0.03979495593076529,-0.08362867127396408,0.050166528366133674
30,5.6251729965209964,0.05908865867841744,0.16134028434753417,0.01397885066332805,64,32,16,64,25,0,50,"{'fnum4': 64, 'fnum3': 32, 'fnum2': 16, 'fnum1': 64, 'epochs': 25, 'do': 0, 'batch_size': 50}",-0.09386968251430627,-0.1278759674334423,-0.18105066186421873,-0.15145880376105705,-0.13334896481753167,-0.1375208160781112,0.028652971519674397,22,-0.07795972305337909,-0.11221066776872715,-0.10508067328886037,-0.13654460359316367,-0.08892555101593205,-0.10414424374401246,0.020164152089008767
31,8.182646417617798,2.179711532447538,0.17934184074401854,0.009778940061881382,32,16,16,64,25,0.25,12,"{'fnum4': 32, 'fnum3': 16, 'fnum2': 16, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 12}",-0.2800042694200685,-0.31081463549431265,-0.5096292843630947,-0.21807177666719857,-0.4791861412264568,-0.3595412214342263,0.1145035756486081,81,-0.2579660023268296,-0.3220912473268194,-0.47662278207793063,-0.17809330044048172,-0.48507004560362477,-0.3439686755551372,0.1207447144554566
32,9.060485792160033,2.2731417836290064,0.16868300437927247,0.01619451275980239,128,32,16,64,25,0.25,50,"{'fnum4': 128, 'fnum3': 32, 'fnum2': 16, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 50}",-0.580169046970157,-0.2992968418381431,-0.9076612189992682,-0.3248434696878706,-0.1434748322416694,-0.45108908194742164,0.2678526158530379,90,-0.5791760589766167,-0.2522929144337838,-0.9206363769578727,-0.2908716082443923,-0.20302547966634035,-0.4492004876558012,0.26966208775750256
33,15.984154319763183,4.173296447274577,0.17096953392028807,0.01027059653060025,64,16,64,128,25,0.25,12,"{'fnum4': 64, 'fnum3': 16, 'fnum2': 64, 'fnum1': 128, 'epochs': 25, 'do': 0.25, 'batch_size': 12}",-0.2551744127750913,-0.16243598702408016,-0.37648807934513595,-0.2311680545538535,-0.26485065501102634,-0.25802343774183745,0.06920516092025644,60,-0.23161590965827564,-0.13828022589673208,-0.3346598414839266,-0.22918378613985974,-0.2359173429597701,-0.23393142122771282,0.0621726810318476
34,9.158799028396606,2.159947138882008,0.16605668067932128,0.012503690051872357,16,32,32,64,25,0.1,50,"{'fnum4': 16, 'fnum3': 32, 'fnum2': 32, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 50}",-0.24398666251273382,-0.27286809984739724,-0.2993740047469284,-0.2527340464132689,-0.2921165954047467,-0.272215881785015,0.021496316726193947,63,-0.2768831984724575,-0.2989976256989039,-0.2812180594271008,-0.24961857085551628,-0.27985640654251687,-0.2773147721992991,0.015868884755771126
35,4.920757007598877,0.9603505653978117,0.2056875228881836,0.1407892267327564,128,16,16,32,25,0,25,"{'fnum4': 128, 'fnum3': 16, 'fnum2': 16, 'fnum1': 32, 'epochs': 25, 'do': 0, 'batch_size': 25}",-0.06266216533782677,-0.08759130131114612,-0.11446621991468199,-0.0522415870066845,-0.092095655538303,-0.08181138582172848,0.022120476773386407,2,-0.0370883554574989,-0.031060636970839457,-0.0672131094621954,-0.03207012280596024,-0.04425675911078979,-0.042337796761456756,0.013286231172615376
36,10.067568349838258,0.9110865720849745,0.1701723575592041,0.016335323041756063,64,64,128,64,25,0,50,"{'fnum4': 64, 'fnum3': 64, 'fnum2': 128, 'fnum1': 64, 'epochs': 25, 'do': 0, 'batch_size': 50}",-0.11534484690660009,-0.1739975557827846,-0.12550806376067072,-0.130369683803418,-0.14419947247065248,-0.13788392454482518,0.020306236833275017,23,-0.10490766434055386,-0.1314442459574509,-0.08630673103679565,-0.10293430792756408,-0.10227147246432769,-0.10557288434533844,0.014552085338866321
37,10.686108684539795,0.18371483689044513,0.16352744102478028,0.010562657327158767,32,16,16,128,25,0.25,25,"{'fnum4': 32, 'fnum3': 16, 'fnum2': 16, 'fnum1': 128, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",-0.37369705230900735,-0.22325822760016376,-0.35033353472297846,-0.1858518477642175,-0.24203101910037908,-0.27503433629934926,0.07365840271568226,65,-0.3749285153270542,-0.23712418068410002,-0.3219373569408536,-0.20084184368838476,-0.2892807828593048,-0.2848225358999395,0.06139114462200176
38,5.344985771179199,0.5680204405509505,0.145953369140625,0.021145214982693762,64,64,16,32,25,0.1,25,"{'fnum4': 64, 'fnum3': 64, 'fnum2': 16, 'fnum1': 32, 'epochs': 25, 'do': 0.1, 'batch_size': 25}",-0.2767098739549711,-0.2891975850415178,-0.11243346552021832,-0.26552676176611995,-0.32848512985425077,-0.2544705632274156,0.07412892243906324,58,-0.2835312699770063,-0.27816519207397716,-0.1336577915477675,-0.23606357807333853,-0.2917868745329818,-0.24464094124101426,0.058736535076252865
39,5.417062997817993,0.17995721160535733,0.15091919898986816,0.014958489288134959,128,128,64,16,25,0.25,12,"{'fnum4': 128, 'fnum3': 128, 'fnum2': 64, 'fnum1': 16, 'epochs': 25, 'do': 0.25, 'batch_size': 12}",-0.21471292716471152,-0.36432915582156283,-0.3875907980453916,-0.36296684583850625,-1.3899362404625137,-0.5439071934665372,0.4274474259621995,95,-0.23375143202997387,-0.34125205949553616,-0.3408470753471476,-0.3882671372444889,-1.33482373578865,-0.5277882879811593,0.4066873048663053
40,8.89946403503418,2.288221019304842,0.1675086498260498,0.017140199365534476,128,128,64,32,25,0,12,"{'fnum4': 128, 'fnum3': 128, 'fnum2': 64, 'fnum1': 32, 'epochs': 25, 'do': 0, 'batch_size': 12}",-0.07195563090570044,-0.13804641866580752,-0.11890211387888176,-0.11298929963148002,-0.10722311299084586,-0.10982331521454314,0.021585709056942966,10,-0.044209321552798844,-0.11568966280201298,-0.055650171079547894,-0.08162202093734111,-0.061614018933468566,-0.07175703906103388,0.025094151069845114
41,7.078896141052246,1.9204031293143726,0.1351372241973877,0.004413121797917053,64,128,64,32,25,0.25,25,"{'fnum4': 64, 'fnum3': 128, 'fnum2': 64, 'fnum1': 32, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",-0.21841566005310456,-0.5615678605837223,-0.24160854940290574,-0.8508558676356363,-0.30198858139705864,-0.4348873038144855,0.24122874183257054,88,-0.20668803926363782,-0.48720172820814384,-0.22328989469159988,-0.785956034567449,-0.27670493859684825,-0.39596812706553575,0.21921795988146967
42,7.506056880950927,1.6773373689573932,0.15223331451416017,0.016697536576885257,32,16,32,64,25,0.1,12,"{'fnum4': 32, 'fnum3': 16, 'fnum2': 32, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 12}",-0.14311869990774048,-0.19094644330796737,-0.117716788497322,-0.330852200640809,-0.3283467383353741,-0.22219617413784257,0.09079626534857073,46,-0.12839516972985873,-0.17768427540439288,-0.05333724028039801,-0.3248656507468585,-0.3036619340875931,-0.19758885404982024,0.10338604118744855
43,4.784920024871826,0.8314479837218803,0.14326033592224122,0.010644738488829698,16,32,64,16,25,0.25,50,"{'fnum4': 16, 'fnum3': 32, 'fnum2': 64, 'fnum1': 16, 'epochs': 25, 'do': 0.25, 'batch_size': 50}",-0.5928545220589742,-0.5139315633224203,-0.3503735732593578,-0.5788938948086331,-0.41562147284999035,-0.49033500525987517,0.09389466456410317,93,-0.5726887386598628,-0.549350231337599,-0.2690202168088196,-0.553697078607299,-0.42659255971575716,-0.4742697650258675,0.11491959091904552
44,7.212080478668213,1.8718883794122263,0.13781423568725587,0.009625609079632948,16,16,16,64,25,0.25,25,"{'fnum4': 16, 'fnum3': 16, 'fnum2': 16, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",-0.30372697326205506,-0.7676846859742812,-0.21621037885482175,-0.3072638362226806,-0.2835749784460315,-0.37569217055197407,0.19871566504510066,82,-0.33156880628099883,-0.782743547368972,-0.13347614729430252,-0.3164095112501575,-0.2857919627034561,-0.36999799497957736,0.21805534134885085
45,10.144721603393554,0.6453552156334565,0.1742034912109375,0.011510021989288046,16,32,128,64,25,0.1,50,"{'fnum4': 16, 'fnum3': 32, 'fnum2': 128, 'fnum1': 64, 'epochs': 25, 'do': 0.1, 'batch_size': 50}",-0.12719855014379922,-0.350562835842758,-0.18988043898111814,-0.2553555218946366,-0.3355193665081804,-0.2517033426740985,0.0850119737896056,56,-0.14393104191917877,-0.36155683679981926,-0.13889321570659613,-0.24227262856317805,-0.30706610683093727,-0.23874396596394187,0.08800344371467694
46,10.906382179260254,0.040303979919975995,0.15810327529907225,0.01851198169995376,64,16,32,128,25,0.25,50,"{'fnum4': 64, 'fnum3': 16, 'fnum2': 32, 'fnum1': 128, 'epochs': 25, 'do': 0.25, 'batch_size': 50}",-0.13695943257509371,-0.1485704503921203,-0.3284644632370441,-0.4919462558349747,-0.8317722275659637,-0.3875425659210393,0.2575383170277343,83,-0.1474484000048596,-0.15819072432783773,-0.34256559328470393,-0.48738634087008254,-0.914791386210041,-0.410076488939505,0.2820253936353665
47,5.723502731323242,0.5353586922932573,0.1629570960998535,0.0633086843950882,64,64,32,32,25,0.1,50,"{'fnum4': 64, 'fnum3': 64, 'fnum2': 32, 'fnum1': 32, 'epochs': 25, 'do': 0.1, 'batch_size': 50}",-0.4016767256316684,-0.32121087067329135,-0.2974556217719982,-0.40888865024367455,-0.23958167088786503,-0.3337627078416995,0.06419040718212582,77,-0.428660759707163,-0.3054916526966031,-0.3565315781088619,-0.3996176121683864,-0.2546914597166887,-0.34899861247954067,0.06285185918233019
48,17.92689781188965,3.886545127671511,0.17314000129699708,0.012672030894883243,16,128,64,128,25,0.25,12,"{'fnum4': 16, 'fnum3': 128, 'fnum2': 64, 'fnum1': 128, 'epochs': 25, 'do': 0.25, 'batch_size': 12}",-0.2096103492237273,-0.17469783064413377,-0.13301711948145,-0.10232027921003181,-0.16885435207065566,-0.15769998612599972,0.03683527721822928,29,-0.19141784093919254,-0.14167199495663763,-0.0707146603839867,-0.0708785794449575,-0.15087946506934763,-0.1251125081588244,0.04740252038199295
